Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,530896347,6811.130901221111,3138783,40.26899413479578,536460,6301020,80.83889119548274,7965,0.10218691074969129,1221,
United States of America,Americas,83987071,25373.534,748418,226.106,135192,999343,301.914,2007,0.606,366
India,South-East Asia,43190282,3129.721,29450,2.134,5233,524715,38.023,79,0.006,7
Brazil,Americas,31195118,14675.952,217457,102.304,35783,667041,313.814,525,0.247,36
France,Europe,28759314,44218.323,123188,189.405,11627,145283,223.377,264,0.406,74
Germany,Europe,26583016,31963.529,197867,237.916,48719,139533,167.775,26,0.031,6
The United Kingdom,Europe,22349187,32921.642,44336,65.309,6703,178998,263.674,169,0.249,4
Russian Federation,Europe,18362105,12582.433,26591,18.221,3646,379736,260.21,536,0.367,79
Republic of Korea,Western Pacific,18188200,35475.891,68785,134.164,13358,24305,47.407,108,0.211,6
Italy,Europe,17543136,29414.316,121726,204.096,28547,167089,280.156,392,0.657,70
Turkey,Europe,15073722,17872.764,975,1.156,0,98969,117.347,4,0.005,0
Spain,Europe,12436538,26274.775,44000,92.959,33293,106914,225.878,296,0.625,117
Viet Nam,Western Pacific,10727005,11020.302,7626,7.835,960,43081,44.259,2,0.002,0
Argentina,Americas,9276618,20525.41,46045,101.879,0,128973,285.365,84,0.186,0
Japan,Western Pacific,8972654,7094.327,122372,96.755,15519,30797,24.35,179,0.142,24
Netherlands,Europe,8095313,46504.515,9459,54.338,1421,22326,128.254,3,0.017,0
Australia,Western Pacific,7471599,29300.522,199786,783.478,30077,8802,34.518,281,1.102,47
Iran (Islamic Republic of),Eastern Mediterranean,7232929,8611.353,895,1.066,139,141339,168.275,24,0.029,7
Colombia,Americas,6109105,12006.207,5650,11.104,0,139867,274.88,13,0.026,0
Indonesia,South-East Asia,6057660,2214.675,2319,0.848,0,156624,57.262,30,0.011,0
Poland,Europe,6009205,15831.137,1365,3.596,202,116362,306.553,36,0.095,7
Mexico,Americas,5792317,4492.51,12118,9.399,1035,325023,252.087,15,0.012,6
Ukraine,Europe,5014929,11466.952,3496,7.994,0,108605,248.332,67,0.153,0
Portugal,Europe,4872945,47328.944,158534,1539.777,27738,23446,227.722,292,2.836,34
Malaysia,Western Pacific,4517447,13957.385,10937,33.792,1128,35699,110.298,23,0.071,9
Thailand,South-East Asia,4473867,6409.554,18847,27.001,2688,30239,43.322,192,0.275,21
Austria,Europe,4308082,48399.63,19656,220.828,2281,19953,224.164,13,0.146,0
Belgium,Europe,4164698,36144.237,7270,63.094,5,31799,275.975,32,0.278,0
Israel,Europe,4161847,48083.037,19019,219.732,4585,10867,125.55,2,0.023,0
South Africa,Africa,3968931,6691.989,11154,18.807,0,101350,170.886,160,0.27,0
Czechia,Europe,3921844,36673.521,1526,14.27,314,40295,376.802,4,0.037,0
Canada,Americas,3883221,10288.817,12330,32.669,1871,41300,109.427,154,0.408,16
Chile,Americas,3760891,19673.841,57950,303.146,4671,57997,303.392,105,0.549,6
Philippines,Western Pacific,3691892,3369.096,1311,1.196,168,60456,55.17,1,0.001,0
Switzerland,Europe,3667745,42379.051,7778,89.871,3,13267,153.294,2,0.023,0
Peru,Americas,3585767,10875.236,5420,16.438,386,213269,646.821,83,0.252,10
China,Western Pacific,3528881,239.85,509538,34.632,83325,17829,1.212,970,0.066,127
Greece,Europe,3478779,32455.641,25822,240.909,5910,29951,279.431,101,0.942,19
Denmark,Europe,3140665,53937.71,3769,64.729,1987,6388,109.707,25,0.429,12
Romania,Europe,2911170,15061.278,1975,10.218,404,65697,339.891,13,0.067,4
Sweden,Europe,2509366,24297.694,469,4.541,0,19014,184.109,0,0,0
Iraq,Eastern Mediterranean,2328957,5790.186,803,1.996,170,25221,62.704,2,0.005,0
Serbia,Europe,2019171,29150.527,1717,24.788,281,16094,232.347,13,0.188,3
Bangladesh,South-East Asia,1953754,1186.327,247,0.15,54,29131,17.688,0,0,0
Hungary,Europe,1921486,19668.16,1646,16.848,1646,46571,476.697,24,0.246,24
Slovakia,Europe,1790597,32807.597,845,15.482,174,20107,368.404,7,0.128,2
Jordan,Eastern Mediterranean,1697271,16634.801,334,3.274,0,14068,137.879,2,0.02,0
Georgia,Europe,1657729,41555.685,0,0,0,16826,421.791,0,0,0
Ireland,Europe,1565970,31543.739,615,12.388,0,7381,148.677,5,0.101,0
Pakistan,Eastern Mediterranean,1530814,693.014,427,0.193,50,30379,13.753,0,0,0
Norway,Europe,1434895,26732.624,1260,23.474,57,3172,59.096,0,0,0
Kazakhstan,Europe,1394997,7429.402,88,0.469,23,19016,101.274,0,0,0
Singapore,Western Pacific,1325623,22658.898,22329,381.67,4477,1394,23.828,5,0.085,1
New Zealand,Western Pacific,1207717,25044.767,42299,877.166,7120,1216,25.217,76,1.576,22
Morocco,Eastern Mediterranean,1171034,3172.626,2731,7.399,607,16082,43.57,6,0.016,2
Bulgaria,Europe,1166316,16777.947,1149,16.529,168,37184,534.908,36,0.518,2
Croatia,Europe,1138278,28049.081,1778,43.813,202,16004,394.365,17,0.419,1
Cuba,Americas,1105490,9760.108,171,1.51,13,8529,75.301,0,0,0
Finland,Europe,1105211,20002.762,767,13.882,0,4627,83.742,0,0,0
Lebanon,Eastern Mediterranean,1100007,16116.268,742,10.871,111,10439,152.942,8,0.117,1
Lithuania,Europe,1063482,38061.838,800,28.632,184,9150,327.477,5,0.179,1
Tunisia,Eastern Mediterranean,1043540,8829.627,668,5.652,668,28648,242.397,7,0.059,7
Slovenia,Europe,1026834,48993.421,1791,85.454,456,7794,371.876,3,0.143,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979223,3360.777,71,0.244,10,11952,41.02,0,0,0
Uruguay,Americas,934961,26915.189,9184,264.384,0,7262,209.055,24,0.691,0
Mongolia,Western Pacific,925227,28222.854,154,4.698,0,2115,64.515,0,0,0
United Arab Emirates,Eastern Mediterranean,912086,9221.931,3881,39.24,572,2305,23.305,0,0,0
Bolivia (Plurinational State of),Americas,910516,7800.174,1654,14.169,288,21949,188.032,1,0.009,0
Costa Rica,Americas,904934,17764.292,13896,272.785,0,8525,167.35,30,0.589,0
Ecuador,Americas,885318,5017.941,8036,45.548,206,35649,202.057,12,0.068,0
Panama,Americas,875486,20290.458,21037,487.558,1692,8276,191.806,22,0.51,1
Guatemala,Americas,864768,4826.908,4599,25.67,106,18224,101.722,93,0.519,5
Latvia,Europe,829640,43489.588,1026,53.783,0,5834,305.817,10,0.524,0
Azerbaijan,Europe,792820,7819.374,53,0.523,10,9714,95.807,1,0.01,1
Saudi Arabia,Eastern Mediterranean,773221,2221.014,5142,14.77,952,9160,26.311,12,0.034,2
Puerto Rico,Americas,695343,24305.443,25109,877.675,583,4408,154.08,45,1.573,8
Sri Lanka,South-East Asia,663895,3100.394,57,0.266,0,16518,77.139,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657879,12896.013,174,3.411,0,5660,110.95,0,0,0
Paraguay,Americas,651268,9130.943,607,8.51,0,18911,265.137,17,0.238,0
Kuwait,Eastern Mediterranean,634537,14858.364,893,20.911,0,2555,59.828,0,0,0
Myanmar,South-East Asia,613397,1127.365,49,0.09,0,19434,35.718,0,0,0
Bahrain,Eastern Mediterranean,590806,34721.126,5141,302.132,997,1489,87.507,1,0.059,1
Dominican Republic,Americas,588408,5424.16,4379,40.367,830,4379,40.367,2,0.018,2
Estonia,Europe,577655,43466.172,641,48.233,0,2574,193.683,0,0,0
Venezuela (Bolivarian Republic of),Americas,523937,1842.517,312,1.097,36,5722,20.122,1,0.004,0
Republic of Moldova,Europe,519228,12871.412,261,6.47,0,11551,286.344,7,0.174,0
Egypt,Eastern Mediterranean,513975,502.25,31,0.03,0,24719,24.155,1,0.001,0
Libya,Eastern Mediterranean,502040,7306.341,24,0.349,0,6430,93.578,0,0,0
Cyprus,Europe,491777,55379.981,1814,204.278,0,1067,120.157,8,0.901,0
Ethiopia,Africa,475321,413.454,2578,2.242,0,7515,6.537,2,0.002,0
Honduras,Americas,425471,4295.688,167,1.686,0,10900,110.05,1,0.01,0
Armenia,Europe,423006,14275.147,43,1.451,0,8625,291.067,0,0,0
Réunion,Africa,416661,46538.078,0,0,0,784,87.567,0,0,0
Oman,Eastern Mediterranean,389758,7632.398,285,5.581,285,4260,83.421,0,0,0
Bosnia and Herzegovina,Europe,378022,11522.198,118,3.597,24,15791,481.313,3,0.091,0
Qatar,Eastern Mediterranean,370551,12861.652,1763,61.193,316,677,23.498,0,0,0
Kenya,Africa,325554,605.442,578,1.075,0,5651,10.509,0,0,0
Zambia,Africa,322207,1752.653,428,2.328,0,3988,21.693,1,0.005,0
North Macedonia,Europe,312345,14992.224,422,20.256,53,9311,446.918,0,0,0
Botswana,Africa,306696,13041.864,0,0,0,2695,114.602,0,0,0
Albania,Europe,276468,9606.922,296,10.286,53,3497,121.516,0,0,0
Algeria,Africa,265900,606.371,16,0.036,0,6875,15.678,0,0,0
Nigeria,Africa,256148,124.259,120,0.058,0,3148,1.527,5,0.002,0
Zimbabwe,Africa,253508,1705.64,805,5.416,0,5513,37.092,7,0.047,0
Luxembourg,Europe,249896,39912.603,1617,258.262,27,1081,172.654,3,0.479,0
Uzbekistan,Europe,239159,714.564,113,0.338,18,1637,4.891,0,0,0
Montenegro,Europe,237629,37835.277,410,65.28,71,2720,433.078,0,0,0
Kosovo[1],Europe,228354,12716.953,38,2.116,0,3129,174.253,0,0,0
Mauritius,Africa,226851,17837.451,0,0,0,996,78.316,0,0,0
Mozambique,Africa,225984,723.023,230,0.736,0,2204,7.052,1,0.003,0
Lao People's Democratic Republic,Western Pacific,210098,2887.723,109,1.498,15,756,10.391,0,0,0
Kyrgyzstan,Europe,200993,3080.734,0,0,0,2991,45.845,0,0,0
Iceland,Europe,189319,51991.575,828,227.389,100,153,42.017,0,0,0
Afghanistan,Eastern Mediterranean,180784,464.402,437,1.123,43,7709,19.803,4,0.01,0
Maldives,South-East Asia,179837,33269.632,40,7.4,0,299,55.315,1,0.185,0
Martinique,Americas,172883,46069.577,5367,1430.189,0,942,251.023,4,1.066,0
Uganda,Africa,164366,359.341,0,0,0,3602,7.875,0,0,0
Namibia,Africa,164298,6466.121,424,16.687,0,4039,158.959,1,0.039,0
El Salvador,Americas,164134,2530.509,1379,21.261,399,4133,63.72,1,0.015,0
Trinidad and Tobago,Americas,162945,11643.187,1510,107.897,96,3943,281.746,27,1.929,5
Guadeloupe,Americas,162190,40534.934,1827,456.608,0,949,237.176,1,0.25,0
Ghana,Africa,161795,520.694,314,1.011,0,1445,4.65,0,0,0
Brunei Darussalam,Western Pacific,151161,34552.744,2487,568.484,380,162,37.03,0,0,0
Jamaica,Americas,139203,4700.951,1937,65.413,174,3076,103.878,20,0.675,2
Cambodia,Western Pacific,136262,815.015,0,0,0,3056,18.279,0,0,0
Rwanda,Africa,130218,1005.372,148,1.143,0,1459,11.264,0,0,0
Cameroon,Africa,119947,451.848,0,0,0,1930,7.27,0,0,0
Angola,Africa,99761,303.536,0,0,0,1900,5.781,0,0,0
Malta,Europe,95365,18533.166,623,121.073,93,723,140.507,2,0.389,0
Democratic Republic of the Congo,Africa,89189,99.584,0,0,0,1338,1.494,0,0,0
Senegal,Africa,86137,514.437,26,0.155,0,1967,11.748,1,0.006,0
Malawi,Africa,86001,449.562,16,0.084,0,2642,13.811,2,0.01,0
French Guiana,Americas,83671,28013.406,719,240.724,0,397,132.917,0,0,0
Côte d’Ivoire,Africa,82309,312.033,94,0.356,0,799,3.029,0,0,0
